name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB
A Vida Sem Grace, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tbBcznJVX1MpyDZ6iSv7inay2oe.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83743.mp4,1280,582,23,129552,1.673723
Scooby-Doo! Piratas à Bordo,Filmes | Animação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/k7tebx1uIIHLbL6jle9g6pe9US1.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/394216.mp4,1920,1080,23,101622,1.761956
A Vigilante do Amanhã: Ghost in the Shell,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/4KTaQLYRuac12gdPAYhXGHLSOW4.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/999.mp4,1280,720,24,154380,0.949197
A Vingança de Willard,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/6zQd8k2p4eTWWvrr3vnNmQvUVh2.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6493.mp4,1280,546,23,144341,1.866284
A Viúva das Sombras,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ipjlnmwq2BynJt4ZCLI95PwbFV3.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/6495.mp4,1280,684,23,124105,1.60155
A Volta do Agente da U.N.C.L.E.,Filmes | Comedia,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qQ1zhkdzV7x5oiQQrPy6eYec1Fu.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/75666.mp4,1280,534,23,167587,2.165991
A Voz Suprema do Blues,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/qAHr52Tzmn2Nywsj9bPb1V18jdm.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4275.mp4,1920,960,24,135513,2.276119
A Última Carta de Amor,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/faiC6bHYQEOzXKw20LNthaHurx0.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4277.mp4,1280,536,24,159447,2.056229
A Última Casa,Filmes | Terror,https://image.tmdb.org/t/p/w600_and_h900_bestv2/tK5bVLVUadaUTn0Z7IzRmRNvfEE.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/80180.mp4,1280,720,23,163475,0.968287
A Última Fortaleza,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/mHx7GUXpycO2sBuG8rjXRpmz9Zy.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/1003.mp4,1280,534,23,188722,2.44155
A Última Nota,Filmes | Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hyuW6OVIvRhHClAdGkdycc7uis7.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/4260.mp4,1280,692,23,139676,1.730341
A Última Resistência,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/iSOmOm5PlJ3kEhkQJxtqMSeuWpQ.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/992.mp4,1280,536,23,129948,0.703466
A Última Viagem, Filmes | Legendados,https://image.tmdb.org/t/p/w600_and_h900_bestv2/a4hwHvo4KdaQK4fRjvFH5hkTXMn.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/83765.mp4,1280,692,24,153527,1.982884
Abaixo de Zero,Filmes | Ação,https://image.tmdb.org/t/p/w600_and_h900_bestv2/rofFkTuMwwIJpWJVQaTRYqfQuoN.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/852.mp4,1280,536,24,153489,2.579398
