name,group-title,logo-link,link,largura,altura,fps,contagem quadros,tamanho_GB,ano,tipo,legendado,temporada,episodio,cam,dublado,provedor,generos,date
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/hGbNZ6sGJoVJQt0Jy7pm67J5oar.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/302533.mp4,960,540,23,69753,0.416814,,Série,False,2.0,4.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/kjikZvCRLwlWVE6ArcRkewHMBUf.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/302528.mp4,960,540,23,69225,0.413943,,Série,False,1.0,12.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Mad Men Inventando Verdades,Séries | Diversas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/m0sBYPwvNFBSaXMa0k1cqOynNwb.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/302537.mp4,960,540,23,70471,0.42617,,Série,False,2.0,8.0,False,False,"M, G, M, +,  , A, p, p, l, e,  , T, V,  , C, h, a, n, n, e, l",Drama,
Madagascar Pequenos Selvagens,Séries | Desenhos,https://image.tmdb.org/t/p/w600_and_h900_bestv2/uGjZfrUe4A3T55JAxhZyxymhyGM.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/400928.mp4,1280,720,29,41647,0.276176,,Série,False,1.0,15.0,False,False,"M, a, x",Animação,
Mae,Turcas | Séries e Novelas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/n8v3KQQODTKHzeidaRJ7bVwbxpi.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/521392.mp4,1280,720,29,87842,0.623346,,Série,False,1.0,27.0,False,False,"N, e, t, f, l, i, x","Crime, Drama",
Mae,Turcas | Séries e Novelas,https://image.tmdb.org/t/p/w600_and_h900_bestv2/ziwhSwr1t9zJdAv99X3KkJwGvIw.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/521439.mp4,1280,720,29,90547,0.619004,,Série,False,1.0,74.0,False,False,"N, e, t, f, l, i, x","Crime, Drama",
Maes Armadas,Séries | Globoplay,https://image.tmdb.org/t/p/w600_and_h900_bestv2/gObrzqzTBgkecx1HNb6qJ7Searx.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/381776.mp4,1280,720,29,122850,0.887802,"<re.Match object; span=(13, 19), match='(2019)'>",Série,False,1.0,1.0,False,False,,,
Maggie A Vidente, Séries | Star +,https://image.tmdb.org/t/p/w600_and_h900_bestv2/a7QfzEzhxY2oLlM3HkPLagBJQvx.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/269560.mp4,848,480,23,32703,0.0952,,Série,False,1.0,3.0,False,False,,,
Magic Mike A Última Dança,Filmes | HBO Max,https://image.tmdb.org/t/p/w600_and_h900_bestv2/raPPX7aRjqc33360tdadlzWDzo2.jpg,http://wateronplay.com:80/movie/Veron23/Veron2023/241906.mp4,1280,534,23,161103,2.294718,"<re.Match object; span=(27, 33), match='(2023)'>",Filme,False,,,False,False,"Apple TV, Amazon Video, Google Play Movies, Microsoft Store","Comédia, Drama, Romance",2023-02-09
Mairo Vergara,Séries | Cursos / Aulas,https://hosting.photobucket.com/images/i/Rootplay/APRENDA_EM_CASA.jpg,http://wateronplay.com:80/series/Veron23/Veron2023/202592.mp4,1920,1080,30,34540,0.215077,,Série,False,1.0,76.0,False,False,,,
